01/01/1980, RES_10M,5
02/01/1980, RES_4R7,1
02/01/1980, CAP_22pF,2
02/01/1980, BC108,4
03/01/1980, RES_12M,3
03/01/1980, RES_2R4,7
03/01/1980, BC107,2
03/01/1980, CAP_270uF,1
04/01/1980, CAP_1500pf,5
04/01/1980, RES_3M0,7
05/01/1980, RES_18M,3
06/01/1980, RES_6M8,1
07/01/1980, RES_2R2,5
07/01/1980, BC108,3
07/01/1980, RES_360R,6
08/01/1980, RES_51K,7
08/01/1980, RES_62R,8
09/01/1980, CAP_1800pf,5
11/01/1980, RES_4K7,7
11/01/1980, CAP_22pF,1
12/01/1980, CAP_220nF,1
13/01/1980, RES_620K,5
13/01/1980, CAP_12uF,7
15/01/1980, RES_430R,2
15/01/1980, RES_1K2,7
15/01/1980, RES_24K,1
15/01/1980, RES_6K2,7
16/01/1980, RES_36K,8
16/01/1980, BY126,2
17/01/1980, RES_270R,1
18/01/1980, RES_3K0,6
18/01/1980, CAP_2000nF,2
18/01/1980, RES_4K7,2
18/01/1980, 1N4001,1
18/01/1980, RES_130K,8
18/01/1980, RES_36K,4
19/01/1980, CAP_150nF,3
19/01/1980, BY126,5
19/01/1980, RES_8M2,7
20/01/1980, OC44,7
20/01/1980, CAP_220uF,2
20/01/1980, CAP_160pF,8
20/01/1980, RES_1R0,3
21/01/1980, RES_100K,3
21/01/1980, RES_390K,2
21/01/1980, RES_1M8,7
23/01/1980, RES_24K,4
23/01/1980, RES_43K,6
23/01/1980, RES_1M6,7
24/01/1980, RES_75M,5
24/01/1980, CAP_22pF,4
25/01/1980, RES_1K6,6
25/01/1980, RES_75M,4
27/01/1980, RES_510R,8
28/01/1980, RES_1K5,6
28/01/1980, RES_1R2,3
29/01/1980, RES_62K,4
29/01/1980, RES_5M1,1
29/01/1980, RES_22M,6
29/01/1980, NE555,5
29/01/1980, RES_270K,1
29/01/1980, CAP_1200nF,2
30/01/1980, CAP_20uF,6
31/01/1980, RES_560K,2
31/01/1980, CAP_270pF,2
31/01/1980, CAP_150pF,5
01/02/1980, RES_9R1,1
01/02/1980, RES_56M,8
01/02/1980, RES_5K1,6
03/02/1980, RES_1K3,4
03/02/1980, RES_1K8,4
03/02/1980, RES_13M,6
04/02/1980, RES_51K,1
05/02/1980, RES_8M2,1
05/02/1980, RES_56R,2
05/02/1980, CAP_22pF,6
06/02/1980, RES_5R1,4
07/02/1980, CAP_27pF,2
07/02/1980, RES_3R0,3
07/02/1980, RES_62R,6
07/02/1980, CAP_20nF,3
07/02/1980, CAP_20nF,5
08/02/1980, RES_11M,3
09/02/1980, RES_270R,6
09/02/1980, CAP_2000pf,3
09/02/1980, CAP_2000nF,3
10/02/1980, CAP_18uF,1
11/02/1980, CAP_27uF,6
12/02/1980, CAP_18uF,1
12/02/1980, RES_18K,7
12/02/1980, RES_12R,2
12/02/1980, RES_56K,6
12/02/1980, RES_1K8,7
13/02/1980, CAP_20uF,7
