1/1/1980,RES_10M,5
2/1/1980,RES_4R7,1
2/1/1980,CAP_22pF,2
2/1/1980,BC108,4
3/1/1980,RES_12M,3
3/1/1980,RES_2R4,7
3/1/1980,BC107,2
3/1/1980,CAP_270uF,1
4/1/1980,CAP_1500pf,5
4/1/1980,RES_3M0,7
5/1/1980,RES_18M,3
6/1/1980,RES_6M8,1
7/1/1980,RES_2R2,5
7/1/1980,BC108,3
7/1/1980,RES_360R,6
8/1/1980,RES_51K,7
8/1/1980,RES_62R,8
9/1/1980,CAP_1800pf,5
11/1/1980,RES_4K7,7
11/1/1980,CAP_22pF,1
12/1/1980,CAP_220nF,1
13/1/1980,RES_620K,5
13/1/1980,CAP_12uF,7
15/1/1980,RES_430R,2
15/1/1980,RES_1K2,7
15/1/1980,RES_24K,1
15/1/1980,RES_6K2,7
16/1/1980,RES_36K,8
16/1/1980,BY126,2
17/1/1980,RES_270R,1
18/1/1980,RES_3K0,6
18/1/1980,CAP_2000nF,2
18/1/1980,RES_4K7,2
18/1/1980,1N4001,1
18/1/1980,RES_130K,8
18/1/1980,RES_36K,4
19/1/1980,CAP_150nF,3
19/1/1980,BY126,5
19/1/1980,RES_8M2,7
20/1/1980,OC44,7
20/1/1980,CAP_220uF,2
20/1/1980,CAP_160pF,8
20/1/1980,RES_1R0,3
21/1/1980,RES_100K,3
21/1/1980,RES_390K,2
21/1/1980,RES_1M8,7
23/1/1980,RES_24K,4
23/1/1980,RES_43K,6
23/1/1980,RES_1M6,7
24/1/1980,RES_75M,5
24/1/1980,CAP_22pF,4
25/1/1980,RES_1K6,6
25/1/1980,RES_75M,4
28/1/1980,RES_1K5,6
28/1/1980,RES_1R2,3
29/1/1980,RES_62K,4
29/1/1980,RES_5M1,1
29/1/1980,RES_22M,6
29/1/1980,NE555,5
29/1/1980,RES_270K,1
29/1/1980,CAP_1200nF,2
30/1/1980,CAP_20uF,6
31/1/1980,RES_560K,2
31/1/1980,CAP_270pF,2
31/1/1980,CAP_150pF,5
